YEAR,MONTH,Labor Force,Employed,Unemployed,Unemployment Rate
1976,1,3066605,2723016,343589,11.2
1976,2,3065430,2722421,343009,11.2
1976,3,3064867,2722931,341936,11.2
1976,4,3067313,2726299,341014,11.1
1976,5,3071973,2730681,341292,11.1
1976,6,3077212,2735049,342163,11.1
1976,7,3081073,2737981,343092,11.1
1976,8,3082731,2739158,343573,11.1
1976,9,3081830,2739239,342591,11.1
1976,10,3079423,2738977,340446,11.1
1976,11,3076833,2739097,337736,11.0
1976,12,3074891,2740292,334599,10.9
1977,1,3074060,2742616,331444,10.8
1977,2,3072906,2745433,327473,10.7
1977,3,3070256,2748001,322255,10.5
1977,4,3066318,2749662,316656,10.3
1977,5,3061884,2750138,311746,10.2
1977,6,3057869,2749330,308539,10.1
1977,7,3054913,2747823,307090,10.1
1977,8,3053950,2747108,306842,10.0
1977,9,3054635,2747754,306881,10.0
1977,10,3055174,2749350,305824,10.0
1977,11,3054758,2751768,302990,9.9
1977,12,3053551,2754761,298790,9.8
1978,1,3052301,2758836,293465,9.6
1978,2,3052029,2764189,287840,9.4
1978,3,3052822,2770144,282678,9.3
1978,4,3054195,2775954,278241,9.1
1978,5,3056271,2781380,274891,9.0
1978,6,3058314,2786035,272279,8.9
1978,7,3059865,2789656,270209,8.8
1978,8,3060853,2792099,268754,8.8
1978,9,3061553,2794154,267399,8.7
1978,10,3062997,2796795,266202,8.7
1978,11,3065284,2800067,265217,8.7
1978,12,3066958,2802704,264254,8.6
1979,1,3066675,2803072,263603,8.6
1979,2,3064349,2800882,263467,8.6
1979,3,3061280,2797304,263976,8.6
1979,4,3059125,2793895,265230,8.7
1979,5,3058767,2791929,266838,8.7
1979,6,3060392,2792038,268354,8.8
1979,7,3063536,2794688,268848,8.8
1979,8,3067263,2799387,267876,8.7
1979,9,3070936,2804861,266075,8.7
1979,10,3073240,2809848,263392,8.6
1979,11,3073107,2813059,260048,8.5
1979,12,3071405,2814008,257397,8.4
1980,1,3068767,2812829,255938,8.3
1980,2,3065588,2809872,255716,8.3
1980,3,3062745,2806124,256621,8.4
1980,4,3060226,2802494,257732,8.4
1980,5,3058244,2799763,258481,8.5
1980,6,3057311,2798455,258856,8.5
1980,7,3056925,2798040,258885,8.5
1980,8,3056559,2797998,258561,8.5
1980,9,3056587,2798195,258392,8.5
1980,10,3057812,2798165,259647,8.5
1980,11,3061766,2798957,262809,8.6
1980,12,3069233,2802095,267138,8.7
1981,1,3079680,2807605,272075,8.8
1981,2,3090801,2814202,276599,8.9
1981,3,3099106,2820239,278867,9.0
1981,4,3102234,2824213,278021,9.0
1981,5,3099847,2825433,274414,8.9
1981,6,3093862,2824357,269505,8.7
1981,7,3087531,2821674,265857,8.6
1981,8,3083186,2817778,265408,8.6
1981,9,3081423,2813357,268066,8.7
1981,10,3082355,2809542,272813,8.9
1981,11,3084362,2806028,278334,9.0
1981,12,3086199,2802788,283411,9.2
1982,1,3087909,2800806,287103,9.3
1982,2,3089969,2800433,289536,9.4
