YEAR,MONTH,Labor Force,Employed,Unemployed,Unemployment Rate
1976,1,7658970,6872159,786811,10.3
1976,2,7656709,6871169,785540,10.3
1976,3,7657019,6874360,782659,10.2
1976,4,7664202,6884805,779397,10.2
1976,5,7675792,6896958,778834,10.1
1976,6,7688483,6907840,780643,10.2
1976,7,7696362,6912373,783989,10.2
1976,8,7697049,6910069,786980,10.2
1976,9,7691659,6903919,787740,10.2
1976,10,7684134,6897272,786862,10.2
1976,11,7678510,6893843,784667,10.2
1976,12,7677887,6896742,781145,10.2
1977,1,7684683,6907949,776734,10.1
1977,2,7696320,6927449,768871,10.0
1977,3,7707711,6951957,755754,9.8
1977,4,7716524,6977815,738709,9.6
1977,5,7722450,7001957,720493,9.3
1977,6,7726627,7022113,704514,9.1
1977,7,7731601,7039090,692511,9.0
1977,8,7740387,7055788,684599,8.8
1977,9,7751263,7072870,678393,8.8
1977,10,7759503,7088701,670802,8.6
1977,11,7764199,7103182,661017,8.5
1977,12,7766972,7116749,650223,8.4
1978,1,7770273,7131276,638997,8.2
1978,2,7776274,7147465,628809,8.1
1978,3,7786471,7165251,621220,8.0
1978,4,7800480,7184303,616177,7.9
1978,5,7817720,7204757,612963,7.8
1978,6,7835746,7226363,609383,7.8
1978,7,7852829,7248347,604482,7.7
1978,8,7869398,7270385,599013,7.6
1978,9,7887005,7294101,592904,7.5
1978,10,7907987,7321205,586782,7.4
1978,11,7930716,7349665,581051,7.3
1978,12,7950015,7374569,575446,7.2
1979,1,7962186,7392215,569971,7.2
1979,2,7967468,7402825,564643,7.1
1979,3,7968558,7408717,559841,7.0
1979,4,7969332,7412399,556933,7.0
1979,5,7973393,7416357,557036,7.0
1979,6,7982172,7421428,560744,7.0
1979,7,7995247,7428759,566488,7.1
1979,8,8010119,7437684,572435,7.1
1979,9,8024170,7446512,577658,7.2
1979,10,8033796,7454201,579595,7.2
1979,11,8035657,7458830,576827,7.2
1979,12,8030532,7458271,572261,7.1
1980,1,8019843,7450357,569486,7.1
1980,2,8005787,7434432,571355,7.1
1980,3,7991318,7412577,578741,7.2
1980,4,7977848,7388893,588955,7.4
1980,5,7966957,7368052,598905,7.5
1980,6,7961264,7355112,606152,7.6
1980,7,7959823,7350961,608862,7.6
1980,8,7960540,7354004,606536,7.6
1980,9,7963193,7361615,601578,7.6
1980,10,7968175,7369830,598345,7.5
1980,11,7977595,7378582,599013,7.5
1980,12,7992929,7390440,602489,7.5
1981,1,8012355,7404757,607598,7.6
1981,2,8030887,7418444,612443,7.6
1981,3,8043149,7429098,614051,7.6
1981,4,8045767,7434257,611510,7.6
1981,5,8037871,7432667,605204,7.5
1981,6,8022179,7425334,596845,7.4
1981,7,8004179,7413783,590396,7.4
1981,8,7989004,7400061,588943,7.4
1981,9,7979395,7386136,593259,7.4
1981,10,7977109,7374003,603106,7.6
1981,11,7979955,7362817,617138,7.7
1981,12,7985416,7352480,632936,7.9
1982,1,7992415,7345465,646950,8.1
1982,2,8000081,7342484,657597,8.2
1982,3,8006251,7341352,664899,8.3
1982,4,8009200,7339620,669580,8.4
1982,5,8007911,7334729,673182,8.4
1982,6,8002375,7324193,678182,8.5
1982,7,7995066,7308403,686663,8.6
1982,8,7988988,7289607,699381,8.8
1982,9,7986033,7270434,715599,9.0
1982,10,7986476,7253501,732975,9.2
1982,11,7990478,7241908,748570,9.4
1982,12,7994369,7235137,759232,9.5
1983,1,7996323,7232007,764316,9.6
1983,2,7998848,7235007,763841,9.5
1983,3,8005867,7246805,759062,9.5
1983,4,8021537,7269024,752513,9.4
1983,5,8044485,7299646,744839,9.3
1983,6,8069852,7334696,735156,9.1
1983,7,8092616,7370162,722454,8.9
1983,8,8106755,7399979,706776,8.7
1983,9,8108669,7419967,688702,8.5
1983,10,8099624,7430518,669106,8.3
1983,11,8084293,7434675,649618,8.0
1983,12,8070649,7438772,631877,7.8
1984,1,8064319,7448740,615579,7.6
1984,2,8066238,7464981,601257,7.5
1984,3,8075279,7484054,591225,7.3
1984,4,8087066,7501278,585788,7.2
1984,5,8099223,7514190,585033,7.2
1984,6,8108605,7521459,587146,7.2
1984,7,8112320,7523709,588611,7.3
1984,8,8113461,7525735,587726,7.2
1984,9,8115887,7532033,583854,7.2
1984,10,8121672,7544702,576970,7.1
1984,11,8132791,7564121,568670,7.0
1984,12,8148926,7587372,561554,6.9
1985,1,8166112,7608114,557998,6.8
1985,2,8179548,7621705,557843,6.8
1985,3,8185507,7627467,558040,6.8
1985,4,8250657,7694005,556652,6.7
1985,5,8281437,7727728,553709,6.7
1985,6,8300178,7750231,549947,6.6
1985,7,8318404,7771516,546888,6.6
1985,8,8338976,7795437,543539,6.5
1985,9,8360850,7820905,539945,6.5
1985,10,8381270,7843211,538059,6.4
