Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2007,963.59,972.65,974.99,1000.0,974.69,992.17,1019.58,1004.28,1023.07,994.39,1001.43,1007.23,992.99
2008,1071.75,1080.46,1087.25,1062.18,1071.2,1085.26,1076.72,1086.16,1077.93,1065.0,1088.32,1056.86,1074.59
2009,1049.22,1066.96,1058.97,1035.1,1036.69,1041.22,1045.8,1062.88,1047.83,1048.75,1067.39,1050.02,1049.44
2010,1056.96,1054.61,1048.29,1058.27,1076.17,1055.38,1061.55,1074.89,1045.16,1053.84,1058.35,1062.17,1057.92
2011,1080.16,1060.14,1061.57,1069.4,1092.7,1069.06,1075.2,1076.6,1083.65,1102.49,1071.22,1079.15,1075.67
2012,1102.46,1072.56,1069.78,1098.2,1066.73,1076.41,1101.79,1080.2,1106.0,1080.16,1091.58,1135.25,1089.55
2013,1102.4,1098.05,1090.4,1091.66,1085.17,1129.52,1109.97,1107.28,1129.36,1088.47,1094.4,1123.46,1105.38
2014,1090.56,1122.13,1124.36,1106.55,1103.82,1145.96,1113.04,1112.28,1116.12,1118.6,1169.39,1123.36,1120.58
2015,1139.04,1172.66,1171.28,1150.88,1143.31,1144.25,1143.91,1187.55,1146.44,1143.71,1184.7,1145.7,1155.57
2016,1154.63,1160.42,1145.12,1137.58,1170.93,1135.78,1160.93,1182.33,1161.79,1193.68,1156.67,1165.17,1160.06
2017,1201.1,1180.51,1166.33,1216.49,1179.28,1184.29,1221.3,1182.98,1189.07,1229.93,1196.33,1216.49,1198.27
2018,1206.8,1220.26,1213.28,1247.49,1211.25,1211.25,1259.73,1225.9,1257.66,1233.28,1232.41,1286.16,1233.2716666666668
2019,1256.3,1272.91,1253.98,1258.7,1258.7,1302.71,1258.04,1270.2,1302.62,1261.18,1267.4,1323.42,1273.8466666666666
2020,1275.39,1317.02,1291.25,1314.62,1272.03,1265.25,1283.72,1344.9,1303.52,1299.65,1353.29,1323.25,1303.6575
2021,1354.08,1345.32,1335.0,1357.04,1417.2,1374.96,1378.03,1422.44,1361.82,1385.74,1368.22,1380.69,1373.378333333333
2022,1423.24,1377.95,1374.15,1354.12,1387.34,1355.64,1367.3,1370.63,1379.62,1434.99,1394.78,1403.32,1385.2566666666664
,,,,,,,,,,,,,
% Change 2014-2015,0.04445422535211274,0.04503043319401501,0.04173040663132821,0.04006145226153368,0.03577576054066789,-0.0014921986805822574,0.027734852296413592,0.06767180925666194,0.02716553775579711,0.022447702485249632,0.013092295983375912,0.01988676826662883,0.03122490139035139
% Change 2015-2016,0.01368696446130091,-0.010437808060307363,-0.022334539990437885,-0.011556374252745916,0.02415792742125933,-0.007402228533974209,0.014878792912029759,-0.00439560439560438,0.013389274624053593,0.0436911454826836,-0.023659998311808872,0.016993977481015943,0.0038855283539724894
% Change 2016-2017,0.040246659102915805,0.0173126971269022,0.018522076288947975,0.06936655004483216,0.007131083839341246,0.04271073623412991,0.05200141266053926,0.0005497619108032481,0.023481007755274064,0.030368272903960936,0.03428808562511332,0.04404507496760113,0.032937951485268124
% Change 2017-2018,0.004745649820997455,0.033671887574014514,0.04025447343376243,0.02548315234814913,0.02710976188861003,0.022764694458283108,0.03146647015475312,0.03628125581159458,0.05768373602899768,0.002723732244924504,0.030158902643919516,0.05727132980953398,0.02921016687947353
% Change 2018-2019,0.04101756711965532,0.04314654254011452,0.033545430568376666,0.008986043976304536,0.03917440660474725,0.07550877192982464,-0.001341557317838027,0.036136715882209014,0.03574893055356765,0.022622599896211737,0.02839152554750446,0.02896995708154515,0.03290029366333158
% Change 2019-2020,0.015195415107856602,0.034652881979087224,0.029721367166940516,0.04442678954476831,0.010590291570668153,-0.02875544058155699,0.020412705478363158,0.05880963627775149,0.0006909152323779644,0.03050317956199744,0.06776866024932926,-0.00012845506339642654,0.02340221481392324
% Change 2020-2021,0.061698774492507935,0.021487904511700684,0.03388189738625358,0.032267879691469936,0.11412466687106448,0.08671013633669244,0.0734661764247655,0.05765484422633649,0.044725052166441515,0.06624091101450391,0.011032372957754832,0.04340827508029488,0.05348094367833034
% Change 2021-2022,0.051075268817204256,0.024254452472274313,0.02932584269662919,-0.0021517420267641585,-0.021069714930849637,-0.014051317856519363,-0.0077864777980160005,-0.0364233289277579,0.013070743563760256,0.035540577597529044,0.019412082852172885,0.016390355546864077,0.008648988443339833
